0.1,0.070668,0,0,0,0,0.019174
0.2,0.067967,0,0,0,0,0.024272
0.3,0.07052,0,0,0,0,0.012938
0.4,0.067175,0,0,0,0,0.00059933
0.5,0.075411,0,0,0,0,0.018792
0.6,0.072071,0,0,0,0,0.013304
0.7,0.066968,0,0,0,0,-0.0010714
0.8,0.068794,0,0,0,0,-0.0018683
0.9,0.066201,0,0,0,0,-0.008124
1,0.072585,0,0,0,0,-0.00037287
1.1,0.066329,0,0,0,0,0.0028301
1.2,0.068519,0,0,0,0,0.0037577
1.3,0.069733,0,0,0,0,-0.0061867
1.4,0.069671,0,0,0,0,0.0043993
1.5,0.073597,0,0,0,0,0.014537
1.6,0.072606,0,0,0,0,0.01906
1.7,0.064065,0,0,0,0,0.018665
1.8,0.072956,0,0,0,0,0.011342
1.9,0.069258,0,0,0,0,0.0097331
2,0.067297,0,0,0,0,0.011287
2.1,0.064264,0,0,0,0,0.017222
2.2,0.072027,0,0,0,0,0.008778
2.3,0.06876,0,0,0,0,0.012485
2.4,0.060734,0,0,0,0,-0.0039292
2.5,0.06568,0,0,0,0,-0.0039123
2.6,0.075877,0,0,0,0,0.016507
2.7,0.076846,0,0,0,0,0.016803
2.8,0.076629,0,0,0,0,0.013586
2.9,0.071036,0,0,0,0,0.010855
3,0.080476,0,0,0,0,0.025646
3.1,0.0631,0,0,0,0,0.028011
3.2,0.074291,0,0,0,0,0.021563
3.3,0.078757,0,0,0,0,0.028403
3.4,0.07579,0,0,0,0,0.017282
3.5,0.072922,0,0,0,0,0.015017
3.6,0.074276,0,0,0,0,0.018567
3.7,0.065988,0,0,0,0,0.0027731
3.8,0.072615,0,0,0,0,0.012165
3.9,0.070361,0,0,0,0,0.0046845
4,0.069078,0,0,0,0,0.0012642
4.1,0.070417,0,0,0,0,0.029465
4.2,0.063784,0,0,0,0,0.039632
4.3,0.065833,0,0,0,0,0.019929
4.4,0.069548,0,0,0,0,0.028209
4.5,0.074785,0,0,0,0,0.017599
4.6,0.06864,0,0,0,0,0.029365
4.7,0.067078,0,0,0,0,0.022473
4.8,0.07408,0,0,0,0,0.025586
4.9,0.069619,0,0,0,0,0.028402
5,0.067696,0,0,0,0,0.026542
5.1,0.06951,0,0,0,0,0.028822
5.2,0.078196,0,0,0,0,0.050878
5.3,0.069279,0,0,0,0,0.051559
5.4,0.066666,0,0,0,0,0.054218
5.5,0.070006,0,0,0,0,0.049098
5.6,0.062619,0,0,0,0,0.05495
